MaTruong,MaNganh,DiemChuan,ChiTieu
TCT,7480201,18.25,240
TCT,7480201C,15.0,40
TCT,7480201H,14.0,80
TCU,7480201,20.25,40
TDD,7480201,14.5,120
TDL,7480201,14.0,200
TDM,7480103,14.0,130
TDM,7480104,14.0,130
TDV,7480201,14.0,250
THP,7480201,14.0,150
THV,7480201,14.0,55
TKG,7480201,21.0,110
TLA,7480201,17.95,340
TLA,7480104,16.0,70
TLA,7480103,16.0,70
TSN,7480201,15.5,200
TTB,7480201,13.0,100
TTG,7480201,13.0,80
TTG,7480104,13.0,50
TTN,7480201,13.0,80
TTQ,7480101,15.0,50
TTU,7480101,0.0,25
UKB,7480201,15.0,200
VGU,7480101,20.1,90
VHD,7480201,14.0,300
VLU,7480201,15.0,200
VUI,7480201,13.0,150
XDA,7480201,19.0,115
ZPH,7480101,20.25,40
BKA  ,IT-E6,23.1,200
BKA  ,IT-E7,24.0,80
BKA  ,IT-GINP,18.8,40
BKA  ,IT-LTU,20.5,70
BKA  ,IT-VUW,19.6,60
BKA  ,IT1,25.0,200
BKA  ,IT2,23.5,160
BKA  ,IT3,25.35,160
BKA  ,MI1,22.3,100
BKA  ,MI2,21.6,60
BKA  ,TROY-IT,18.0,40
DCQ,7480103,14.0,35
DCQ,7480201,14.0,35
DDQ,7340405,14.5,260
DDQ,7340122,14.5,140
DFA,7340405,14.0,114
DHK,7340405,13.0,60
DHK,7340122,14.5,50
DHK,7340405CL,13.0,40
DMS,7340405,17.5,200
DMT,7480201,14.0,310
DTZ,7460117,14.0,25
GHA,GHA-23,19.65,200
GSA,GSA-06,17.4,100
HBT,7320104,21.7,50
HBU,7320105,14.0,50
HBU,7480201,14.0,50
HPN,7320104,17.5,50
HTC,7340405,19.75,120
NHH,7340405,20.0,200
NHS,7340405,18.6,150
QSK,7340405,21.25,110
QSK,7340122,21.2,110
TMA,7340122,20.7,250
TMA,7340405,19.75,150
NTU,7480201,14.0,50
