MaTruong,TenTruong,DiaChi,SĐT,Website,TinhThanh,MaNganh,TenNganh,ChiTieu,DiemChuan,DVChuQuan
DVX,Trường Đại học Công nghệ Vạn Xuân,"103 Nguyễn Sinh Cung, Nghi Hương, Cửa Lò, Nghệ An",2383956561,vxut.edu.vn,Nghệ An,7480201,Công nghệ thông tin,60,13,Bộ Giáo Dục Và Đào Tạo
DYD,Trường Đại học Yersin Đà Lạt,"27 Tôn Thất Tùng, Phường 8, Thành phố Đà Lạt, Lâm Đồng",02633 552 111,yersin.edu.vn,Lâm Đồng,7480201,Công nghệ thông tin,45,15.5,Bộ Giáo Dục Và Đào Tạo
EIU,Trường Đại học Quốc tế miền Đông,"Đường Nam Kỳ Khởi Nghĩa, Phường Hòa Phú, Thành phố Thủ Dầu Một, Bình Dương",0274 - 2220342,www.eiu.edu.vn,Bình Dương,7480102,Mạng máy tính và truyền thông dữ liệu,80,14.5,Bộ Giáo Dục Và Đào Tạo
EIU,Trường Đại học Quốc tế miền Đông,"Đường Nam Kỳ Khởi Nghĩa, Phường Hòa Phú, Thành phố Thủ Dầu Một, Bình Dương",0274 - 2220342,www.eiu.edu.vn,Bình Dương,7480103,Kỹ thuật phần mềm,80,14.5,Bộ Giáo Dục Và Đào Tạo
ETU,Trường Đại học Hòa Bình,"Số 8 phố Bùi Xuân Phái, Mỹ Đình 2, Nam Từ Liêm, Hà Nội",0247 1099 669,www.daihochoabinh.edu.vn,Hà Nội,7480201,Công nghệ thông tin,40,15.5,Bộ Giáo Dục Và Đào Tạo
ETU,Trường Đại học Hòa Bình,"Số 8 phố Bùi Xuân Phái, Mỹ Đình 2, Nam Từ Liêm, Hà Nội",0247 1099 669,www.daihochoabinh.edu.vn,Hà Nội,7480299,Công nghệ đa phương tiện,30,15.5,Bộ Giáo Dục Và Đào Tạo
DCG,Trường Đại học Tư thục Công nghệ Thông tin Gia Định,"A15-19 Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, TP. Hồ Chí Minh",08.6262.2980,www.giadinh.edu.vn,TP. Hồ Chí Minh,7480103,Kỹ thuật phần mềm,100,13,Bộ Giáo Dục Và Đào Tạo
GUST,Học viện Khoa học và Công nghệ,"Số 18 đường Hoàng Quốc Việt, Cầu Giấy, Hà Nội",0243.791.9977,http://gust.edu.vn/vn,Hà Nội,7480104,Hệ thống thông tin,0,0,Viện Hàn Lâm Khoa Học Và Công Nghệ Việt Nam
FBU,Trường Đại học Tài chính - Ngân hàng Hà Nội,"136 Phạm Văn Đồng, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",024. 3793 1340,fbu.edu.vn,Hà Nội,7480201,Công nghệ thông tin,50,15.5,Bộ Giáo Dục Và Đào Tạo
FPT,Trường Đại học Fpt,"Khu Giáo dục và Đào tạo - Khu Công nghệ cao Hòa Lạc - Km29 Đại lộ Thăng Long, Thạch Thất, TP. Hà Nội",(024) 73001866,daihoc.fpt.edu.vn,Hà Nội,7480101,Khoa học máy tính,0,0,Bộ Giáo Dục Và Đào Tạo
FPT,Trường Đại học Fpt,"Khu Giáo dục và Đào tạo - Khu Công nghệ cao Hòa Lạc - Km29 Đại lộ Thăng Long, Thạch Thất, TP. Hà Nội",(024) 73001866,daihoc.fpt.edu.vn,Hà Nội,7480103,Kỹ thuật phần mềm,0,0,Bộ Giáo Dục Và Đào Tạo
FPT,Trường Đại học Fpt,"Khu Giáo dục và Đào tạo - Khu Công nghệ cao Hòa Lạc - Km29 Đại lộ Thăng Long, Thạch Thất, TP. Hà Nội",(024) 73001866,daihoc.fpt.edu.vn,Hà Nội,7480202,An toàn thông tin,0,0,Bộ Giáo Dục Và Đào Tạo
GTA,Trường Đại học Công nghệ Giao thông Vận tải,"54 Triều Khúc, Thanh Xuân, Tp. Hà Nội",2435526713,utt.edu.vn,Hà Nội,7480102,Mạng máy tính và truyền thông dữ liệu,240,15.5,Bộ Giao Thông Vận Tải
GTA,Trường Đại học Công nghệ Giao thông Vận tải,"54 Triều Khúc, Thanh Xuân, Tp. Hà Nội",2435526713,utt.edu.vn,Hà Nội,7480104,Hệ thống thông tin,640,16,Bộ Giao Thông Vận Tải
GTA,Trường Đại học Công nghệ Giao thông Vận tải,"54 Triều Khúc, Thanh Xuân, Tp. Hà Nội",2435526713,utt.edu.vn,Hà Nội,7480104TN,Hệ thống thông tin,120,16,Bộ Giao Thông Vận Tải
GTA,Trường Đại học Công nghệ Giao thông Vận tải,"54 Triều Khúc, Thanh Xuân, Tp. Hà Nội",2435526713,utt.edu.vn,Hà Nội,7480104VP,Hệ thống thông tin,120,16,Bộ Giao Thông Vận Tải
GTA,Trường Đại học Công nghệ Giao thông Vận tải,"54 Triều Khúc, Thanh Xuân, Tp. Hà Nội",2435526713,utt.edu.vn,Hà Nội,7480201,Công nghệ thông tin,320,17,Bộ Giao Thông Vận Tải
GTS,Trường Đại học Giao thông Vận tải tp. Hồ Chí Minh,"Số 2, đường D3, Phường 25, Q. Bình Thạnh, TP. Hồ Chí Minh",028 35106171,www.ut.edu.vn,TP. Hồ Chí Minh,7480102,Mạng máy tính và truyền thông dữ liệu,60,17.5,Bộ Giao Thông Vận Tải
GTS,Trường Đại học Giao thông Vận tải tp. Hồ Chí Minh,"Số 2, đường D3, Phường 25, Q. Bình Thạnh, TP. Hồ Chí Minh",028 35106171,www.ut.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,100,19.5,Bộ Giao Thông Vận Tải
HDT,Trường Đại học Hồng Đức,"Số 565 Quang Trung 3, Phường Đông Vệ, Thanh Hóa",(0237).3910.222,www.hdu.edu.vn,Thanh Hóa,7480201,Công nghệ thông tin,70,13,UBND Tỉnh Thanh Hóa
HHA,Trường Đại học Hàng hải Việt Nam,"484 Lạch Tray, Đổng Quốc Bình, Lê Chân, Hải Phòng",225.3735138,vimaru.edu.vn,Hải Phòng,7480201D114,Công nghệ thông tin,100,18.5,Bộ Giao Thông Vận Tải
HHA,Trường Đại học Hàng hải Việt Nam,"484 Lạch Tray, Đổng Quốc Bình, Lê Chân, Hải Phòng",225.3735138,vimaru.edu.vn,Hải Phòng,7480201D118,Công nghệ phần mềm,45,17,Bộ Giao Thông Vận Tải
HHA,Trường Đại học Hàng hải Việt Nam,"484 Lạch Tray, Đổng Quốc Bình, Lê Chân, Hải Phòng",225.3735138,vimaru.edu.vn,Hải Phòng,7480201D119,Kỹ thuật thuyền thông và mạng máy tính,45,15.5,Bộ Giao Thông Vận Tải
HHA,Trường Đại học Hàng hải Việt Nam,"484 Lạch Tray, Đổng Quốc Bình, Lê Chân, Hải Phòng",225.3735138,vimaru.edu.vn,Hải Phòng,7480201H114,Công nghệ thông tin (CLC),60,14,Bộ Giao Thông Vận Tải
HHT,Trường Đại học Hà Tĩnh,"447 Đường 26/3, Phường Đại Nài, Thành phố Hà Tĩnh, Hà Tĩnh",2393885376,htu.edu.vn,Hà Tĩnh,7480201,Công nghệ thông tin,80,13.5,UBND Tỉnh Hà Tĩnh
HIU,Trường Đại học Quốc tế Hồng Bàng,"215 Điện Biên Phủ, Phường 15, Quận Bình Thạnh, TP. HCM",2873083456,www.hiu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,100,14,Bộ Giáo Dục Và Đào Tạo
HLU,Trường Đại học Hạ Long,"Số 258, Đường Bạch Đằng, P. Nam Khê, TP Uông Bí, Tỉnh Quảng Ninh",0203.3850.304,daihochalong.edu.vn,Tỉnh Quảng Ninh,7480101,Khoa học máy tính,50,14,UBND Tỉnh Quảng Ninh
HNM,Trường Đại học Thủ đô Hà Nội,"Số 98 Dương Quảng Hàm, Quan Hoa, Cầu Giấy, Hà Nội",2438333231,www.daihocthudo.edu.vn,Hà Nội,7480201,Công nghệ thông tin,40,23.93,UBND TP. Hà Nội
HUI,Trường Đại học Công nghiệp tp. Hồ Chí Minh,"Số 12 Nguyễn Văn Bảo, Phường 4, Quận Gò Vấp, Tp.Hồ Chí Minh",(028) 38955858,www.hui.edu.vn,TP. Hồ Chí Minh,7480103C,Kỹ thuật phần mềm (CLC),120,16,Bộ Công Thương
HUI,Trường Đại học Công nghiệp tp. Hồ Chí Minh,"Số 12 Nguyễn Văn Bảo, Phường 4, Quận Gò Vấp, Tp.Hồ Chí Minh",(028) 38955858,www.hui.edu.vn,TP. Hồ Chí Minh,7480108,Công nghệ kỹ thuật máy tính,70,16,Bộ Công Thương
HUI,Trường Đại học Công nghiệp tp. Hồ Chí Minh,"Số 12 Nguyễn Văn Bảo, Phường 4, Quận Gò Vấp, Tp.Hồ Chí Minh",(028) 38955858,www.hui.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,250,18.75,Bộ Công Thương
HVN,Học viện Nông nghiệp Việt Nam,"Trâu Quỳ, Gia Lâm, Hà Nội",02462 617 586,www.vnua.edu.vn,Hà Nội,7480201,Công nghệ thông tin,105,17,Bộ Nông Nghiệp Và Phát Triển Nông Thôn
HVN,Học viện Nông nghiệp Việt Nam,"Trâu Quỳ, Gia Lâm, Hà Nội",02462 617 586,www.vnua.edu.vn,Hà Nội,7480201P,Công nghệ thông tin (POHE),50,17,Bộ Nông Nghiệp Và Phát Triển Nông Thôn
HVQ,Học viện Quản lý Giáo dục,"Số 31 phố Phan Đình Giót, phường Phương Liệt, quận Thanh Xuân, Hà Nội.",2436648719,naem.edu.vn,Hà Nội,7480201,Công nghệ thông tin,200,16,Bộ Giáo Dục Và Đào Tạo
KCC,Trường Đại học Kỹ thuật - Công nghệ Cần Thơ,"256 Nguyễn Văn Cừ, P. An Hòa, Q. Ninh Kiều, TP. Cần Thơ",2923.898167,www.ctuet.edu.vn,Cần Thơ,7480101,Khoa học máy tính,50,14.5,Bộ Giáo Dục Và Đào Tạo
KCC,Trường Đại học Kỹ thuật - Công nghệ Cần Thơ,"256 Nguyễn Văn Cừ, P. An Hòa, Q. Ninh Kiều, TP. Cần Thơ",2923.898167,www.ctuet.edu.vn,Cần Thơ,7480104,Hệ thống thông tin,70,14.25,Bộ Giáo Dục Và Đào Tạo
KCC,Trường Đại học Kỹ thuật - Công nghệ Cần Thơ,"256 Nguyễn Văn Cừ, P. An Hòa, Q. Ninh Kiều, TP. Cần Thơ",2923.898167,www.ctuet.edu.vn,Cần Thơ,7480103,Kỹ thuật phần mềm,70,16,Bộ Giáo Dục Và Đào Tạo
KCN,Trường Đại học Khoa học và Công nghệ Hà Nội,"Tòa nhà A21, Số 18 Hoàng Quốc Việt, P. Nghĩa Đô, Q. Cầu Giấy, Hà Nội",(0888) 55 77 48,usth.edu.vn,Hà Nội,7480201,Công nghệ thông tin,120,18,Viện Hàn Lâm Khoa Học Và Công Nghệ Việt Nam
KCN,Trường Đại học Khoa học và Công nghệ Hà Nội,"Tòa nhà A21, Số 18 Hoàng Quốc Việt, P. Nghĩa Đô, Q. Cầu Giấy, Hà Nội",(0888) 55 77 48,usth.edu.vn,Hà Nội,7480202,An toàn thông tin,30,17.3,Viện Hàn Lâm Khoa Học Và Công Nghệ Việt Nam
KHA,Trường Đại học Kinh tế Quốc dân,"Số 207 đường Giải Phóng, quận Hai Bà Trưng, Hà Nội",024.3628.0280,neu.edu.vn,Hà Nội,7480101,Khoa học máy tính,60,21.5,Bộ Giáo Dục Và Đào Tạo
KHA,Trường Đại học Kinh tế Quốc dân,"Số 207 đường Giải Phóng, quận Hai Bà Trưng, Hà Nội",024.3628.0280,neu.edu.vn,Hà Nội,7480201,Công nghệ thông tin,120,21.75,Bộ Giáo Dục Và Đào Tạo
KMA,Học viện Kỹ thuật Mật mã,"Số 141 đường Chiến Thắng, Tân Triều, Thanh Trì, Hà nội",2435520251,actvn.edu.vn,Hà Nội,7480202,An toàn thông tin,420,19,Ban Cơ Yếu Chính Phủ
KMA,Học viện Kỹ thuật Mật mã,"Số 141 đường Chiến Thắng, Tân Triều, Thanh Trì, Hà nội",2435520251,actvn.edu.vn,Hà Nội,7480201,Công nghệ thông tin,200,20.15,Ban Cơ Yếu Chính Phủ
KSA,Trường Đại học Kinh tế tp. Hồ Chí Minh,"59C Nguyễn Đình Chiểu, phường 6, quận 3, TP. Hồ Chí Minh",(028) 22 441 993,www.ueh.edu.vn,TP. Hồ Chí Minh,7480103_01,Công nghệ phần mềm,50,19,Bộ Giáo Dục Và Đào Tạo
KTA,Đại học Kiến trúc Hà Nội,"Km 10 đường Nguyễn Trãi, quận Thanh Xuân, TP Hà Nội",024.3854 2391,www.hau.edu.vn,Hà Nội,7480201,Công nghệ thông tin,100,16,Bộ Xây Dựng
KTC,Trường Đại học Kinh tế - Tài chính tp. Hồ Chí Minh,"276 Điện Biên Phủ, phường 17, quận Bình Thạnh, Tp.HCM",028 5422 6666,uef.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,120,18,Bộ Giáo Dục Và Đào Tạo
KTD,Trường Đại học Kiến trúc Đà Nẵng,"Số 566 Núi Thành, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",236.221003,www.dau.edu.vn,Đà Nẵng,7480201,Công nghệ thông tin,150,15.5,Bộ Giáo Dục Và Đào Tạo
LNH,Trường Đại học Lâm nghiệp (Phía Bắc),"Thị trấn Xuân Mai, Chương Mỹ, Hà Nội",433.840223,www.vnuf.edu.vn,Hà Nội,7480104,Hệ thống thông tin,70,13,Bộ Nông Nghiệp Và Phát Triển Nông Thôn
MBS,Trường Đại học Mở tp. Hồ Chí Minh,"97 Võ Văn Tần, P.6, Q.3, Tp.HCM",028 393 07 696,www.ou.edu.vn,TP. Hồ Chí Minh,7480101,Khoa học máy tính,150,17,Bộ Giáo Dục Và Đào Tạo
MBS,Trường Đại học Mở tp. Hồ Chí Minh,"97 Võ Văn Tần, P.6, Q.3, Tp.HCM",028 393 07 696,www.ou.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,100,18.25,Bộ Giáo Dục Và Đào Tạo
MDA,Trường Đại học Mỏ - Địa chất,"Số 18 Phố Viên, Phường Đức Thắng, Q. Bắc Từ Liêm, Hà Nội",438386214,humg.edu.vn,Hà Nội,7480201,Công nghệ thông tin,580,14,Bộ Giáo Dục Và Đào Tạo
MHN,Viện Đại học Mở Hà Nội,"B101, đường Nguyễn Hiền, quận Hai Bà Trưng, Hà Nội",024 38682321,hou.edu.vn,Hà Nội,7480201,Công nghệ thông tin,330,18.75,Bộ Giáo Dục Và Đào Tạo
NHF,Trường Đại học Hà Nội,"Km 9, Đường Nguyễn Trãi, Quận Thanh Xuân, Hà Nội",(024)38544338,www.hanu.edu.vn,Hà Nội,7480201,Công nghệ thông tin,200,20.6,Bộ Giáo Dục Và Đào Tạo
NLS,Trường Đại học Nông lâm Tp. Hồ Chí Minh,"Khu phố 6, P. Linh Trung, Q. Thủ Đức, TP. Hồ Chí Minh",028.3896.6780,www.nlu.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,210,18.15,Bộ Giáo Dục Và Đào Tạo
NTT,Trường Đại học Nguyễn Tất Thành,"300A Nguyễn Tất Thành P13 Q4, TPHCM",028 6261 9423,ntt.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,250,15.5,Bộ Công Thương
QHI,Trường Đại học Công nghệ - Đại học Quốc gia Hà Nội,"Nhà E3, 144 Xuân Thủy, Cầu Giấy, Hà Nội",024 37 547 865,www.uet.vnu.edu.vn,Hà Nội,7480106,Kỹ thuật máy tính,100,21,Đại Học Quốc Gia Hà Nội
QHI,Trường Đại học Công nghệ - Đại học Quốc gia Hà Nội,"Nhà E3, 144 Xuân Thủy, Cầu Giấy, Hà Nội",024 37 547 865,www.uet.vnu.edu.vn,Hà Nội,7480101,Khoa học máy tính,140,22,Đại Học Quốc Gia Hà Nội
QHI,Trường Đại học Công nghệ - Đại học Quốc gia Hà Nội,"Nhà E3, 144 Xuân Thủy, Cầu Giấy, Hà Nội",024 37 547 865,www.uet.vnu.edu.vn,Hà Nội,7480102,Mạng máy tính và truyền thông dữ liệu,60,23.75,Đại Học Quốc Gia Hà Nội
QHI,Trường Đại học Công nghệ - Đại học Quốc gia Hà Nội,"Nhà E3, 144 Xuân Thủy, Cầu Giấy, Hà Nội",024 37 547 865,www.uet.vnu.edu.vn,Hà Nội,7480104,Hệ thống thông tin,60,23.75,Đại Học Quốc Gia Hà Nội
QHI,Trường Đại học Công nghệ - Đại học Quốc gia Hà Nội,"Nhà E3, 144 Xuân Thủy, Cầu Giấy, Hà Nội",024 37 547 865,www.uet.vnu.edu.vn,Hà Nội,7480201,Công nghệ thông tin,240,23.75,Đại Học Quốc Gia Hà Nội
QHI,Trường Đại học Công nghệ - Đại học Quốc gia Hà Nội,"Nhà E3, 144 Xuân Thủy, Cầu Giấy, Hà Nội",024 37 547 865,www.uet.vnu.edu.vn,Hà Nội,7480201NB,Công nghệ thông tin định hướng thị trường Nhật Bản,60,23.75,Đại Học Quốc Gia Hà Nội
QHQ,Khoa Quốc tế - Đại học Quốc gia Hà Nội,"144 Xuân Thủy, Cầu Giấy, Hà Nội",2435575992,www.is.vnu.edu.vn,Hà Nội,7480111,Tin học và kỹ thuật máy tính,40,15,Đại Học Quốc Gia Hà Nội
QHT,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Hà Nội,"334 đường Nguyễn Trãi, Quận Thanh Xuân, Hà Nội",024 35579076,hus.vnu.edu.vn,Hà Nội,7480110CLC,Máy tính và khoa học thông tin,50,18.45,Đại Học Quốc Gia Hà Nội
QHT,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Hà Nội,"334 đường Nguyễn Trãi, Quận Thanh Xuân, Hà Nội",024 35579076,hus.vnu.edu.vn,Hà Nội,7480110QTD,Máy tính và khoa học thông tin,70,20.15,Đại Học Quốc Gia Hà Nội
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480101,Khoa học máy tính,90,22.4,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480101_CLCA,Khoa học máy tính (CLC),90,20.25,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480102,Mạng máy tính và truyền thông dữ liệu,80,21.2,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480102_CLCA,Mạng máy tính và truyền thông dữ liệu (CLC),50,18.6,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480103,Kỹ thuật phần mềm,100,23.2,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480103_CLCA,Kỹ thuật phần mềm (CLC),100,21.5,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480104,Hệ thống thông tin,60,21.1,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480104_CLCA,Hệ thống thông tin (CLC),50,19,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480104_TT,Hệ thống thông tin (tiên tiến),40,17,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480106,Kỹ thuật máy tính,70,21.7,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480106_CLCA,Kỹ thuật máy tính (CLC),80,18.4,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,140,22.5,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480201_BT,Công nghệ thông tin,70,20.5,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480201_CLCN,Công nghệ thông tin (CLC định hướng Nhật Bản),50,19,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480201_KHDL,Công nghệ thông tin (Khoa học dữ liệu),50,20.6,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480202,An toàn thông tin,70,22.25,Đại Học Quốc Gia TP. Hồ Chí Minh
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",(028) 372 52002,www.uit.edu.vn,TP. Hồ Chí Minh,7480202_CLCA,An toàn thông tin (CLC),50,20.1,Đại Học Quốc Gia TP. Hồ Chí Minh
QSQ,Trường Đại học Quốc tế - Đại học Quốc gia TP.HCM,"Khu phố 6, P.Linh Trung, Q. Thủ Đức, TP.HCM",(028) 37244270,www.hcmiu.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,120,19,Đại Học Quốc Gia TP. Hồ Chí Minh
QSQ,Trường Đại học Quốc tế - Đại học Quốc gia TP.HCM,"Khu phố 6, P.Linh Trung, Q. Thủ Đức, TP.HCM",(028) 37244270,www.hcmiu.edu.vn,TP. Hồ Chí Minh,7489001,Khoa học dữ liệu,40,17,Đại Học Quốc Gia TP. Hồ Chí Minh
QST,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia TP.HCM,"227 Đường Nguyễn Văn Cừ, Phường 4, Quận 5, Hồ Chí Minh",0971.522.917,tuyensinh.hcmus.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,550,22.75,Đại Học Quốc Gia TP. Hồ Chí Minh
QST,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia TP.HCM,"227 Đường Nguyễn Văn Cừ, Phường 4, Quận 5, Hồ Chí Minh",0971.522.917,tuyensinh.hcmus.edu.vn,TP. Hồ Chí Minh,7480201_CLC,Công nghệ thông tin (CLC),100,21.2,Đại Học Quốc Gia TP. Hồ Chí Minh
QST,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia TP.HCM,"227 Đường Nguyễn Văn Cừ, Phường 4, Quận 5, Hồ Chí Minh",0971.522.917,tuyensinh.hcmus.edu.vn,TP. Hồ Chí Minh,7480201_TT,Công nghệ thông tin (tiên tiến),60,21.4,Đại Học Quốc Gia TP. Hồ Chí Minh
QST,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia TP.HCM,"227 Đường Nguyễn Văn Cừ, Phường 4, Quận 5, Hồ Chí Minh",0971.522.917,tuyensinh.hcmus.edu.vn,TP. Hồ Chí Minh,7480201_VP,Công nghệ thông tin (liên kết Việt – Pháp),40,20.1,Đại Học Quốc Gia TP. Hồ Chí Minh
SDU,Trường Đại học Sao Đỏ,"Số 24, Phố Thái Học 2, Phường Sao Đỏ, Thị xã Chí Linh, Hải Dương",2203882269,saodo.edu.vn,Hải Dương,7480201,Công nghệ thông tin,80,14,Bộ Công Thương
SGD,Trường Đại học Sài Gòn,"273 An Dương Vương, Phường 3, Quận 5, TP. Hồ Chí Minh",(028) 38352309,www.sgu.edu.vn,TP. Hồ Chí Minh,7480103,Kỹ thuật phần mềm,50,16.54,UBND TP. Hồ Chí Minh
SGD,Trường Đại học Sài Gòn,"273 An Dương Vương, Phường 3, Quận 5, TP. Hồ Chí Minh",(028) 38352309,www.sgu.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,350,18.29,UBND TP. Hồ Chí Minh
SGD,Trường Đại học Sài Gòn,"273 An Dương Vương, Phường 3, Quận 5, TP. Hồ Chí Minh",(028) 38352309,www.sgu.edu.vn,TP. Hồ Chí Minh,7480201CLC,Công nghệ thông tin (CLC),60,16.53,UBND TP. Hồ Chí Minh
SKH,Trường Đại học Sư phạm Kỹ thuật Hưng Yên,"Xã Dân Tiến, huyện Khoái Châu, Hưng Yên",2213713028,tuyensinh.utehy.edu.vn,Hưng Yên,7480201,Công nghệ thông tin,250,15,Bộ Giáo Dục Và Đào Tạo
SKN,Trường Đại học Sư phạm Kỹ thuật Nam Định,"Đường Phù Nghĩa, Phường Lộc H, Thành Phố Nam Định",(0228)3645194,www.nute.edu.vn,Nam Định,7480101,Khoa học máy tính,20,18,Bộ Lao Động Thương Binh Và Xã Hội
SKN,Trường Đại học Sư phạm Kỹ thuật Nam Định,"Đường Phù Nghĩa, Phường Lộc H, Thành Phố Nam Định",(0228)3645194,www.nute.edu.vn,Nam Định,7480201,Công nghệ thông tin,150,18,Bộ Lao Động Thương Binh Và Xã Hội
SKV,Trường Đại học Sư phạm Kỹ thuật Vinh,"Số 117 Đường Nguyễn Viết Xuân, Phường Hưng Dũng, TP. Vinh,  Nghệ An",02383.833.002,vuted.edu.vn,Nghệ An,7480108,Công nghệ kỹ thuật máy tính,45,13.5,Bộ Lao Động Thương Binh Và Xã Hội
