MaTruong,TenTruong,DiaChi,SĐT,Website,TinhThanh,MaNganh,TenNganh,ChiTieu,DiemChuan,DVChuQuan
DDB,Trường Đại học Thành Đông,"Số 3 Vũ Công Đán, Phường Tứ Minh, Hải Dương",03203 680 186,thanhdong.edu.vn,Hải Dương,7480201,Công nghệ thông tin,80,15.5,Bộ Giáo Dục Và Đào Tạo
DDD,Trường Đại học Đông Đô,"Km25, quốc lộ 6, Phú Nghĩa, Chương Mỹ, Hà Nội",24.3771996,www.hdiu.edu.vn,Hà Nội,7480201,Công nghệ thông tin,80,15.5,Bộ Giáo Dục Và Đào Tạo
DDI,Khoa Công nghệ thông tin và truyền thông - Đại học Đà Nẵng,"Đô thị Đại học Đà Nẵng, đường Nam Kỳ Khởi Nghĩa, Đà Nẵng",2366552688,sict.udn.vn,Đà Nẵng,7480201,Công nghệ thông tin,80,17,Bộ Giáo Dục Và Đào Tạo
DDI,Khoa Công nghệ thông tin và truyền thông - Đại học Đà Nẵng,"Đô thị Đại học Đà Nẵng, đường Nam Kỳ Khởi Nghĩa, Đà Nẵng",2366552688,sict.udn.vn,Đà Nẵng,7480201DT,Công nghệ thông tin (Đào tạo đặc thù),240,16.55,Bộ Giáo Dục Và Đào Tạo
DDI,Khoa Công nghệ thông tin và truyền thông - Đại học Đà Nẵng,"Đô thị Đại học Đà Nẵng, đường Nam Kỳ Khởi Nghĩa, Đà Nẵng",2366552688,sict.udn.vn,Đà Nẵng,7480108,Công nghệ thông tin,100,15.5,Bộ Giáo Dục Và Đào Tạo
DDK,Trường Đại họ̣c Bách khoa - Đại học Đà Nẵng,"54 Nguyễn Lương Bằng, phường Hòa Khánh, quận Liên Chiểu, Đà Nẵng",0868.924.555,www.dut.udn.vn,Đà Nẵng,7480201,Công nghệ thông tin,150,23,Bộ Giáo Dục Và Đào Tạo
DDK,Trường Đại họ̣c Bách khoa - Đại học Đà Nẵng,"54 Nguyễn Lương Bằng, phường Hòa Khánh, quận Liên Chiểu, Đà Nẵng",0868.924.555,www.dut.udn.vn,Đà Nẵng,7480201DT,Công nghệ thông tin (Đào tạo đặc thù),90,20,Bộ Giáo Dục Và Đào Tạo
DDK,Trường Đại họ̣c Bách khoa - Đại học Đà Nẵng,"54 Nguyễn Lương Bằng, phường Hòa Khánh, quận Liên Chiểu, Đà Nẵng",0868.924.555,www.dut.udn.vn,Đà Nẵng,7480201CLC,Công nghệ thông tin (Chất lượng cao),45,20.6,Bộ Giáo Dục Và Đào Tạo
DDL,Trường Đại học Điện lực,"Số 235, Hoàng Quốc Việt, Bắc Từ Liêm, Hà Nội",2422452662,www.epu.edu.vn,Hà Nội,7480201,Công nghệ thông tin,40,16,Bộ Công Thương
DDM,Trường Đại học Công nghiệp Quảng Ninh,"Xã Yên Thọ, Thị xã Đông Triều,Tnh Quảng Ninh",2033871292,qui.edu.vn,Tnh Quảng Ninh,7480201,Công nghệ thông tin,40,13,Bộ Công Thương
DDN,Trường Đại học Đại Nam,"Số 1, phố Xốm, phường Phú Lãm, Hà Đông, Hà Nội",2435577799,www.dainam.edu.vn,Hà Nội,7480201,Công nghệ thông tin,100,14.5,Bộ Giáo Dục Và Đào Tạo
DDP,Phân hiệu Đại học Đà Nẵng tại KonTum,"704 Phan Đình Phùng, Quang Trung, Kon Tum",0260 3913 029,kontum.udn.vn,Kon Tum,7480201,Công nghệ thông tin,40,14.3,Bộ Giáo Dục Và Đào Tạo
DDS,Trường Đại họ̣c Sư phạm - Đại học Đà Nẵng,"số 459 đường Tôn Đức Thắng, quận Liên Chiểu, TP. Đà Nẵng",0236 3841 323,ued.udn.vn,TP. Đà Nẵng,7480201,Công nghệ thông tin,290,15,Bộ Giáo Dục Và Đào Tạo
DDS,Trường Đại họ̣c Sư phạm - Đại học Đà Nẵng,"số 459 đường Tôn Đức Thắng, quận Liên Chiểu, TP. Đà Nẵng",0236 3841 323,ued.udn.vn,TP. Đà Nẵng,7480201DT,Công nghệ thông tin (Đào tạo đặc thù),300,22.25,Bộ Giáo Dục Và Đào Tạo
DDS,Trường Đại họ̣c Sư phạm - Đại học Đà Nẵng,"số 459 đường Tôn Đức Thắng, quận Liên Chiểu, TP. Đà Nẵng",0236 3841 323,ued.udn.vn,TP. Đà Nẵng,7480201CLC,Công nghệ thông tin (Chất lượng cao),100,15.1,Bộ Giáo Dục Và Đào Tạo
DDT,Trường Đại học Duy Tân,"254 Nguyễn Văn Linh, Thạc Gián, Thanh Khê, Đà Nẵng",(0236) 3653561,www.duytan.edu.vn,Đà Nẵng,7480103,Kỹ thuật Phần mềm,500,13,Bộ Giáo Dục Và Đào Tạo
DDV,Viện Nghiên cứu và Đào tạo Việt - Anh thuộc Đại học Đà Nẵng,"158A Lê Lợi, Quận Hải Châu 1, Đà Nẵng",0236 3738399,www.vnuk.udn.vn,Đà Nẵng,7480204,Khoa học và Kỹ thuật máy tính,40,19.3,Đại Học Đà Nẵng
DHP,Trường Đại học Dân lập Hải Phòng,"Số 36 - Đường Dân Lập, Phường Dư Hàng Kênh, Quận Lê Chân, Hải Phòng",02253.740.577,www.hpu.edu.vn,Hải Phòng,7480201,Công nghệ thông tin,150,15,Bộ Giáo Dục Và Đào Tạo
DHQ,Phân hiệu Đại học Huế tại Quảng Trị,"Đường Điện Biên Phủ, phường Đông Lương",233.3560661,phqt.hueuni.vn,phường Đông Lương,7480201,Công nghệ thông tin,50,13.5,Đại Học Huế
DHT,Trường Đại học Khoa học - Đại học Huế,"Số 77 Nguyễn Huệ, thành phố Huế, tỉnh Thừa Thiên Huế",2343823290,www.husc.edu.vn,tỉnh Thừa Thiên Huế,7480201,Công nghệ thông tin,250,13.5,Đại Học Huế
DHV,Trường Đại học Hùng Vương - tp. Hồ Chí Minh,"736 Nguyễn Trãi, Phường 11, Quận 5, TP. HCM",0283 8553675,www.hvuh.edu.vn,TP. HCM,7480201,Công nghệ thông tin,100,14,Bộ Giáo Dục Và Đào Tạo
DKB,Trường Đại học Kinh tế - Kỹ thuật Bình Dương,"530 Đại lộ Bình Dương, P. Hiệp Thành, Tp. Thủ Dầu Một, Bình Dương",(0274) 3822847,www.ktkt.edu.vn,Bình Dương,7480201,Công nghệ thông tin,78,14,Bộ Giáo Dục Và Đào Tạo
DKC,Trường Đại học Công nghệ Tp. Hồ Chí Minh,"475A Điện Biên Phủ, Phường 25, Quận Bình Thạnh, TP. Hồ Chí Minh",028 35120783,www.hutech.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,250,17,Bộ Giáo Dục Và Đào Tạo
DKC,Trường Đại học Công nghệ Tp. Hồ Chí Minh,"475A Điện Biên Phủ, Phường 25, Quận Bình Thạnh, TP. Hồ Chí Minh",028 35120783,www.hutech.edu.vn,TP. Hồ Chí Minh,7480202,An toàn thông tin,100,16,Bộ Giáo Dục Và Đào Tạo
DKD,Trường Đại học Kinh tế Kỹ thuật Công nghiệp (Cơ sở Nam Định),"Số 353 Trần Hưng Đạo, Phường Bà Triệu, Nam Định",(0228)3848706,www.uneti.edu.vn,Nam Định,7480201,Công nghệ thông tin,30,14,Bộ Công Thương
DKK,Trường Đại học Kinh tế Kỹ thuật Công nghiệp (Cơ sở Hà Nội)," Số 353 Trần Hưng Đạo, Phường Bà Triệu, Nam Định",(0228)3848706,www.uneti.edu.vn,Nam Định,7480102,Mạng máy tính và truyền thông dữ liệu ,50,15.5,Bộ Công Thương
DKK,Trường Đại học Kinh tế Kỹ thuật Công nghiệp (Cơ sở Hà Nội)," Số 353 Trần Hưng Đạo, Phường Bà Triệu, Nam Định",(0228)3848706,www.uneti.edu.vn,Nam Định,7480201,Công nghệ thông tin,70,18.5,Bộ Công Thương
DKT,Trường Đại học Hải Dương,"Khu Đô thị phía Nam, Hải Dương",02203.710.919,uhd.edu.vn,Hải Dương,7480201,Công nghệ thông tin,50,13,UBND Tỉnh Hải Dương
DLA,Trường Đại học Kinh tế Công nghiệp Long An,"938 Quốc lộ 1, Phường Khánh Hậu, Thành Phố Tân An, Long An",02723.513.668,www.daihoclongan.edu.vn,Long An,7480101,Khoa học máy tính,118,15,Bộ Giáo Dục Và Đào Tạo
DLH,Trường Đại học Lạc Hồng,"Số 10 Huỳnh Văn Nghệ, P. Bửu Long, TP. Biên Hòa, Đồng Nai",251.3952778,lhu.edu.vn,Đồng Nai,7480201,Công nghệ thông tin,100,14,Bộ Giáo Dục Và Đào Tạo
DNC,Trường Đại học nam Cần Thơ,"số 168 Nguyễn Văn Cừ (nối dài), Phường An Bình, Q. Ninh Kiều, Cần Thơ",02923 798 668,www.nctu.edu.vn,Cần Thơ,7480201,Công nghệ thông tin,160,15.5,Bộ Giáo Dục Và Đào Tạo
DNT,Trường Đại học Ngoại ngữ - Tin học TP.HCM,"155 Sư Vạn Hạnh (nối dài), phường 13, quận 10, TP. Hồ Chí Minh",(028) 38 629 232,huflit.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,330,18.25,Bộ Giáo Dục Và Đào Tạo
DNV,Trường Đại học Nội vụ Hà Nội,"36 Xuân La, phường Xuân La, quận Tâu Hồ, Hà Nội",024 37533659,truongnoivu.edu.vn,Hà Nội,7480104,Hệ thống thông tin,120,14.5,Bộ Nội Vụ
DNV,Trường Đại học Nội vụ Hà Nội,"36 Xuân La, phường Xuân La, quận Tâu Hồ, Hà Nội",024 37533659,truongnoivu.edu.vn,Hà Nội,7480104D,Hệ thống thông tin,80,15,Bộ Nội Vụ
DPC,Trường Đại học Phan Châu Trinh,"02 Trần Hưng Đạo, Hội An, Quảng Nam",02353 919444,www.pctu.edu.vn,Quảng Nam,7480201,Công nghệ thông tin,60,15,Bộ Giáo Dục Và Đào Tạo
DPD,Trường Đại học Dân lập Phương Đông,"171 Trung Kính, quận Cầu Giấy, Hà Nội",024-3784-8513,phuongdong.edu.vn,Hà Nội,7480201,Công nghệ thông tin,180,14,Bộ Giáo Dục Và Đào Tạo
DPQ,Trường Đại học Phạm Văn Đồng,"509 Phan Đình Phùng (Phường Chánh Lộ), Thành phố Quảng Ngãi, Quảng Ngãi",0255-2240902,pdu.edu.vn,Quảng Ngãi,7480201,Công nghệ thông tin,120,14,UBND Tỉnh Quảng Ngãi
DPT,Trường Đại học Phan Thiết,"225 Nguyễn Thông, Phú Hài, Phan Thiết, Bình Thuận",(0252) 246 1372,upt.edu.vn,Bình Thuận,7480201,Công nghệ thông tin,75,14,Bộ Giáo Dục Và Đào Tạo
DPX,Trường Đại học Dân lập Phú Xuân,"28 Nguyễn Tri Phương, Phú Hội, Thành phố Huế, Thừa Thiên Huế",0234-3845885,phuxuanuni.edu.vn,Thừa Thiên Huế,7480201,Công nghệ thông tin,40,15.5,Bộ Giáo Dục Và Đào Tạo
DPY,Trường Đại học Phú Yên,"18 Trần Phú, Phường 7, Thành phố Tuy Hòa, Phú Yên",0257 3843 025,www.pyu.edu.vn,Phú Yên,7480201,Công nghệ thông tin,75,0,UBND Tỉnh Phú Yên
DQB,Trường Đại học Quảng Bình,"312 Lý Thường Kiệt, Đồng Phú, Đồng Hới, Quảng Bình",232.382201,quangbinhuni.edu.vn,Quảng Bình,7480201,Công nghệ thông tin,50,14,UBND Tỉnh Quảng Bình
DQB,Trường Đại học Quảng Bình,"312 Lý Thường Kiệt, Đồng Phú, Đồng Hới, Quảng Bình",232.382201,quangbinhuni.edu.vn,Quảng Bình,7480103,Kỹ thuật phần mềm,50,14,UBND Tỉnh Quảng Bình
DQH,Học viên Kỹ thuật Quân sự (hệ Dân sự),"236 Hoàng Quốc Việt, Cổ Nhuế, Bắc Từ Liêm, Hà Nội",69698262,mta.edu.vn,Hà Nội,7480201,Công nghệ thông tin,70,21.7,Bộ Quốc Phòng
DQH,Học viên Kỹ thuật Quân sự (hệ Dân sự),"236 Hoàng Quốc Việt, Cổ Nhuế, Bắc Từ Liêm, Hà Nội",69698262,mta.edu.vn,Hà Nội,7480101,Khoa học máy tính,50,20,Bộ Quốc Phòng
DQK,Trường Đại học Kinh doanh và Công nghệ Hà Nội,"Số 29A, Ngõ 124, Phố Vĩnh Tuy, Phường Vĩnh Tuy, Q. Hai Bà Trưng, Hà Nội",24.36336507,www.hubt.edu.vn,Hà Nội,7480201,Công nghệ thông tin,600,15,Bộ Giáo Dục Và Đào Tạo
DQN,Trường Đại học Quy Nhơn,"170 An Dương Vương, Nguyễn Văn Cừ, Thành phố Qui Nhơn, Bình Định",(84-256) 3846156,www.qnu.edu.vn,Bình Định,7480201,Công nghệ thông tin,200,18,Bộ Giáo Dục Và Đào Tạo
DQN,Trường Đại học Quy Nhơn,"170 An Dương Vương, Nguyễn Văn Cừ, Thành phố Qui Nhơn, Bình Định",(84-256) 3846156,www.qnu.edu.vn,Bình Định,7480103,Kỹ thuật phần mềm,150,18,Bộ Giáo Dục Và Đào Tạo
DQT,Trường Đại học Quang Trung,"Đường Đào Tấn, Khu vực 4-5, Phường Nhơn Phú, Thành Phố Quy Nhơn, Bình Định",0256 3648389,www.qtu.edu.vn,Bình Định,7480201,Công nghệ thông tin,150,13,Bộ Giáo Dục Và Đào Tạo
DQU,Trường Đại học Quảng Nam,"102 Hùng Vương, thành phố Tam Kỳ, Quảng Nam",235.3812834,qnamuni.edu.vn,Quảng Nam,7480201,Công nghệ thông tin,200,13,UBND Tỉnh Quảng Nam
DSG,Trường Đại học Công nghệ Sài Gòn,"180 Đường Cao Lỗ, Phường 4, Quận 8, TP. Hồ Chí Minh",028 3850 5520,www.stu.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,300,16.5,Bộ Giáo Dục Và Đào Tạo
DSK,Trường Đại học Sư phạm Kỹ thuật - Đại học Đà Nẵng,"48 Cao Thắng, Quận Hải Châu, Đà Nẵng",(0236) 3822 571,www.ute.udn.vn,Đà Nẵng,7480201,Công nghệ thông tin,145,17.5,Bộ Giáo Dục Và Đào Tạo
DTA,Trường Đại học Thành Tây,"Phường Yên Nghĩa, Quận Hà Đông, TP. Hà Nội",2402180336,thanhtay.edu.vn,TP. Hà Nội,7480101,Khoa học máy tính,40,13,Bộ Giáo Dục Và Đào Tạo
DTC,Trường Đại học Công nghệ Thông tin và Truyền thông - Đại học Thái Nguyên,"Đường Z115, Quyết Thắng, TP Thái Nguyên",208.3846237,www.ictu.edu.vn,TP Thái Nguyên,7480101,Khoa học máy tính,50,13,Đại Học Thái Nguyên
DTC,Trường Đại học Công nghệ Thông tin và Truyền thông - Đại học Thái Nguyên,"Đường Z115, Quyết Thắng, TP Thái Nguyên",208.3846237,www.ictu.edu.vn,TP Thái Nguyên,7480102,Mạng máy tính và truyền thông dữ liệu,60,13,Đại Học Thái Nguyên
DTC,Trường Đại học Công nghệ Thông tin và Truyền thông - Đại học Thái Nguyên,"Đường Z115, Quyết Thắng, TP Thái Nguyên",208.3846237,www.ictu.edu.vn,TP Thái Nguyên,7480103,Kỹ thuật phần mềm,150,13,Đại Học Thái Nguyên
DTC,Trường Đại học Công nghệ Thông tin và Truyền thông - Đại học Thái Nguyên,"Đường Z115, Quyết Thắng, TP Thái Nguyên",208.3846237,www.ictu.edu.vn,TP Thái Nguyên,7480104,Hệ thống thông tin,50,13,Đại Học Thái Nguyên
DTC,Trường Đại học Công nghệ Thông tin và Truyền thông - Đại học Thái Nguyên,"Đường Z115, Quyết Thắng, TP Thái Nguyên",208.3846237,www.ictu.edu.vn,TP Thái Nguyên,7480108,Công nghệ kỹ thuật máy tính,60,13,Đại Học Thái Nguyên
DTC,Trường Đại học Công nghệ Thông tin và Truyền thông - Đại học Thái Nguyên,"Đường Z115, Quyết Thắng, TP Thái Nguyên",208.3846237,www.ictu.edu.vn,TP Thái Nguyên,7480201,Công nghệ thông tin,260,14,Đại Học Thái Nguyên
DTC,Trường Đại học Công nghệ Thông tin và Truyền thông - Đại học Thái Nguyên,"Đường Z115, Quyết Thắng, TP Thái Nguyên",208.3846237,www.ictu.edu.vn,TP Thái Nguyên,7480202,An toàn thông tin,60,13,Đại Học Thái Nguyên
DTD,Trường Đại học Tây Đô,"Số 68, Đường Trần Chiên, Khu vực Thạnh Mỹ, Phường Lê Bình, Quận Cái Răng, Cần Thơ",(0292) 3740768,www.tdu.edu.vn,Cần Thơ,7480201,Công nghệ thông tin,100,14,Bộ Giáo Dục Và Đào Tạo
DTH,Trường Đại học Hoa Sen,"Số 8 Nguyễn Văn Tráng, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh",(028) 73091991,www.hoasen.edu.vn,TP. Hồ Chí Minh,7480102,Mạng máy tính và truyền thông dữ liệu,60,14,Bộ Giáo Dục Và Đào Tạo
DTH,Trường Đại học Hoa Sen,"Số 8 Nguyễn Văn Tráng, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh",(028) 73091991,www.hoasen.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,200,16.5,Bộ Giáo Dục Và Đào Tạo
DTK,Trường Đại học Kỹ thuật Công nghiệp - Đại học Thái Nguyên,"Số 666 Đường 3-2, P.Tích Lương, Thái Nguyên",2083847145,tnut.edu.vn,Thái Nguyên,7480106,Kĩ thuật máy tính ,51,15.5,Bộ Giáo Dục Và Đào Tạo
DTL,Trường Đại học Thăng Long,"Phường Đại Kim, quận Hoàng Mai, Hà Nội",243.8587346,www.thanglong.edu.vn,Hà Nội,7480101,Khoa học máy tính,120,15,Bộ Giáo Dục Và Đào Tạo
DTL,Trường Đại học Thăng Long,"Phường Đại Kim, quận Hoàng Mai, Hà Nội",243.8587346,www.thanglong.edu.vn,Hà Nội,7480102,Mạng máy tính và truyền thông dữ liệu,60,15,Bộ Giáo Dục Và Đào Tạo
DTL,Trường Đại học Thăng Long,"Phường Đại Kim, quận Hoàng Mai, Hà Nội",243.8587346,www.thanglong.edu.vn,Hà Nội,7480104,Hệ thống thông tin,50,15,Bộ Giáo Dục Và Đào Tạo
DTM,Trường Đại học Tài nguyên và Môi Trường tp. Hồ Chí Minh,"236B Lê Văn Sỹ, Phường 1, Quận Tân Bình, TP. Hồ Chí Minh",(028) 3844 3006,hcmunre.edu.vn,TP. Hồ Chí Minh,7480104,Hệ thống thông tin,50,15,Bộ Tài Nguyên Và Môi Trường
DTM,Trường Đại học Tài nguyên và Môi Trường tp. Hồ Chí Minh,"236B Lê Văn Sỹ, Phường 1, Quận Tân Bình, TP. Hồ Chí Minh",(028) 3844 3006,hcmunre.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,100,15.5,Bộ Tài Nguyên Và Môi Trường
DTT,Trường Đại học Tôn Đức Thắng,"Số 19 Nguyễn Hữu Thọ, Tân Hưng, Quận 7, TP. Hồ Chí Minh ",28.37755035,tdtu.edu.vn,TP. Hồ Chí Minh,7480101,Khoa học máy tính,120,19.75,Tổng Liên Đoàn Lao Động Việt Nam
DTT,Trường Đại học Tôn Đức Thắng,"Số 19 Nguyễn Hữu Thọ, Tân Hưng, Quận 7, TP. Hồ Chí Minh ",28.37755035,tdtu.edu.vn,TP. Hồ Chí Minh,7480102,Mạng máy tính và truyền thông dữ liệu,80,19.75,Tổng Liên Đoàn Lao Động Việt Nam
DTT,Trường Đại học Tôn Đức Thắng,"Số 19 Nguyễn Hữu Thọ, Tân Hưng, Quận 7, TP. Hồ Chí Minh ",28.37755035,tdtu.edu.vn,TP. Hồ Chí Minh,7480103,Kỹ thuật phần mềm,80,20.75,Tổng Liên Đoàn Lao Động Việt Nam
DTV,Trường Đại học Lương Thế Vinh,"Phường Lộc Vượng, Nam Định",2283.680042,ltvu.edu.vn,Nam Định,7480201,Công nghệ thông tin,100,15.5,Bộ Giáo Dục Và Đào Tạo
DVB,Trường Đại học Việt bắc,"QL 1B, Đồng Bẩm, Thành phố Thái Nguyên, Thái Nguyên",0208 3755 878,vietbac.edu.vn,Thái Nguyên,7480102,Mạng máy tính và truyền thông dữ liệu,50,14,Bộ Giáo Dục Và Đào Tạo
DVB,Trường Đại học Việt bắc,"QL 1B, Đồng Bẩm, Thành phố Thái Nguyên, Thái Nguyên",0208 3755 878,vietbac.edu.vn,Thái Nguyên,7480201,Công nghệ thông tin,100,14,Bộ Giáo Dục Và Đào Tạo
DVH,Trường Đại học Văn Hiến,"665-667-669 Điện Biên Phủ, Phường 1, Quận 3, TP. Hồ Chí Minh",08 3832 0333,www.vhu.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,80,14.1,Bộ Giáo Dục Và Đào Tạo
DVL,Trường Đại học Văn Lang,"45 Nguyễn Khắc Nhu, Phường Cô Giang, Quận 1, TP. Hồ Chí Minh",(028) 38367933,www.vanlanguni.edu.vn,TP. Hồ Chí Minh,7480103,Kỹ thuật phần mềm,130,15.5,Bộ Giáo Dục Và Đào Tạo
DVL,Trường Đại học Văn Lang,"45 Nguyễn Khắc Nhu, Phường Cô Giang, Quận 1, TP. Hồ Chí Minh",(028) 38367933,www.vanlanguni.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,95,0,Bộ Giáo Dục Và Đào Tạo
DVT,Trường Đại học Trà Vinh,"126, Nguyễn Thiện Thành, Khóm 4, Phường 5, Trà Vinh",0294.3.855.944,www.tvu.edu.vn,Trà Vinh,7480102,Mạng máy tính và truyền thông dữ liệu,100,14,UBND Tỉnh Trà Vinh
DVT,Trường Đại học Trà Vinh,"126, Nguyễn Thiện Thành, Khóm 4, Phường 5, Trà Vinh",0294.3.855.944,www.tvu.edu.vn,Trà Vinh,7480201,Công nghệ thông tin,90,14,UBND Tỉnh Trà Vinh
